Q,x,SYN,ACK,SYN/ACK,FIN
closed_listen_0,0.0000,0.0000,0.0000,0.0000,0.0000
start_1,27.6957,40.4512,30.3860,26.9579,30.0433
closed_listen_rcvd_SYN_2,7.6293,2.3733,7.6342,45.5963,9.1861
SYN_rcvd_3,54.2393,8.8824,10.3119,17.9843,10.2188
SYN_sent_4,47.9019,40.9602,39.5392,40.0276,39.1585
SYN_sent_rcvd_SYN_ACK_5,36.5835,40.3227,55.6603,33.0754,39.1260
established_6,49.1396,49.1670,49.7360,51.9348,27.4647
established_rcvd_FIN_7,59.8475,55.4678,74.5584,53.2408,54.8682
close_wait_8,60.4363,67.3543,70.0878,66.8288,84.9663
last_ACK_9,84.0412,78.4862,80.9685,96.3359,84.2388
FIN_wait_10,48.7571,1.3575,7.2861,0.6289,12.1426
FIN_wait_2_rcvd_ACK_11,7.4766,3.6184,15.6588,75.3171,7.4736
FIN_wait_rcvd_ACK_FIN_12,9.0252,17.1699,96.3815,10.2280,8.6068
time_wait_13,4.9500,0.0000,90.4594,0.0000,9.5550
FIN_wait_rcvd_FIN_14,1.4271,-0.4377,30.6471,0.4192,0.4288
closing_15,11.8563,6.7105,55.5116,4.1791,17.4772
